⋯你個頭,nei5 go3 tau4
朋友妻不可戲,pang4 jau5 cai1 bat1 ho2 hei3
望君嘗糞,mong6 gwan1 soeng4 fan3
未水銅人,mei6 seoi2 tung4 jan4
杬豉,laam2 si6
杰𠱂𠱂,git6 dat1 dat1
林冧冧,lam4 lam1 lam3
枱裙,toi2 kwan4
桃酌,tou4 zoek3
梳粧枱,so1 zong1 toi2
棺材頭燒炮仗,gun1 coi4 tau4 siu1 paau3 zoeng2
椎心泣血,zeoi1 sam1 jap1 hyut3
椗呤鄧㨢,ding4 ling1 dang6 lang3
槽肥,cou4 fei4
樴,dak6
欖豉,laam2 si6
欠行,him3 hang4
欼,ci2
歸納論証,gwai1 naap6 leon6 zing3
死⋯爛⋯,sei2 laan6
殀殀哂哂,laai4 laai4 saai4 saai4
殮屍,lim5 si1
氕,pit3
汭,jeoi5,jeoi6
汾流,fan1 lau4
沒水銅人,mei6 seoi2 tung4 jan4
沬水銅人,mei6 seoi2 tung4 jan4
泥掽,nai4 baan6
泥水佬造門,nai4 seoi2 lou2 zou6 mun4
浭,gaang3
消毒爐,siu1 duk6 lou4
涼粉草,loeng4 fan2 cou2
淡過貓尿,taam5 gwo3 maau1 niu6
渧,dai3
温仔,wan1 zai2
温女,wan1 neoi2
温文儒雅,wan1 man4 jyu4 ngaa5
温暖牌,wan1 nyun5 paai4
温温燉,wan1 wan1 dan6
温温燉燉,wan1 wan1 dan6 dan6
温牀,wan1 cong4
温馴,wan1 seon4
渳,mei1
渻,saang2
湓,pan4
滑脱脱,waat6 tyut3 tyut3
滰,king4
漏埗,lau6 bau6
漏窗,lau6 coeng1
演繹論証,jin2 jik6 leon6 zing3
漮,hong2
潺茄,saan4 ke2
澒,hung6
澩嫪,laau2 gaau6
激死老母揾山拜,gik1 sei2 lou5 mou2 wan2 saan1 baai3
激死老豆揾山拜,gik1 sei2 lou5 dau6 wan2 saan1 baai3
濕唧唧,sap1 zet4 zet4
濕水欖,sap1 seoi2 laam2
濕水狗上岸,sap1 seoi2 gau2 soeng5 ngon6
濕水雞,sap1 seoi2 gai1
濕淰淰,sap1 nam6 nam6
濕笛笛,sap1 det4 det4,sap1 det6 det6
火焰雪山,fo2 jim6 syut3 saan1
火燄雪山,fo2 jim6 syut3 saan1
火船仔細機器大,fo2 syun4 zai2 sai3 gei1 hei3 daai6
火葬紙,fo2 zong3 zi2
灶君跌落鑊,zou3 gwan1 dit3 lok6 wok6
灶窟,zou3 fat1
灶蝦,zou3 haa1
炒孖更,caau2 maa1 gaang1
炒老世魷魚,caau2 lou5 sai3 jau4 jyu2
炖翁,deon3 jung1
炮尖,paau3 zim1
炸牛屎,zaa3 ngau4 si2
為起嚟,wai4 hei2 lei4
烏吓烏吓,wu1 haa5 wu1 haa5
烏喱馬叉,wu1 li1 maa1 caa1
無天裝無地葬,mou5 tin1 zong1 mou5 dei6 zong3
無天裝無地載,mou5 tin1 zong1 mou5 dei6 zoi3
煀,wat1
煙槓,jin1 gong3
煙灰罌,jin1 fui1 ngaang1
煙精,jin1 zing1
煙骨,jin1 gwat1
照⋯可也,ziu3 ho2 jaa5
熛,biu1
熟煙,suk6 jin1
熰,au3
燒冷灶,siu1 laang5 zou3
燒到⋯嗰疊,siu1 dou3 go2 daap6
燒台炮,siu1 toi4 paau3
燒埋⋯嗰疊,siu1 maai4 go2 daap6
燒枱炮,siu1 toi4 paau3
爆馬欄,baau3 maa5 laam2
爭一個馬鼻,zaang1 jat1 go3 maa5 bei6
爭個馬鼻,zaang1 go3 maa5 bei6
爭先㧬後,zang1 sin1 ung2 hau6,zaang1 sin1 ung2 hau6
牙吖仔,ngaa4 ngaa1 zai2
犯天下之大不韙,faan6 tin1 haa6 zi1 daai6 bat1 wai5
狎暱,haap3 nik1
狗都唔吼,gou2 dou1 m4 hau1
獞,zong6
獨擅勝場,duk6 sin6 sing3 coeng4
玉扣紙,juk6 kau3 zi2
璺,man6
瓩,cin1 ngaa5
甏,paang1
甘草欖,gam1 cou2 laam2
生番薯,saang1 faan1 syu4
生蟲枴杖,saang1 cung4 gwaai2 zoeng2
生雞熟鴨,saang1 gai1 suk6 aap3
甴曱屎,gaat6 zaat2 si2
畀個官你做,bei2 go3 gun1 nei5 zou6
畀西瓜皮⋯踩,bei2 sai1 gwaa1 pei4 caai2
番薯跌落灶,faan1 syu2 dit3 lok6 zou3
異卵雙生,ji6 leon2 soeng1 sang1
當神噉拜,dong3 san4 gam2 baai3
當老肯,dong1 lou5 hang2
當自己屋企得喇,dong3 zi6 gei2 uk1 kei2 dak1 laa3
疒,nik6
